rooms,title,subtitle,subway,dist_to_subway,city,admin_okrug,district,street,home_number,price,link
1,"1-комн. кв., 33 м², 7/9 этаж",,Крымская,11 минут пешком,Москва,ЮЗАО,р-н Котловка,Севастопольский проспект,14к1,10 800 000 ₽,https://www.cian.ru/sale/flat/286477251/
1,"1-комн. кв., 33 м², 8/9 этаж",,Тёплый Стан,13 минут пешком,Москва,ЮЗАО,р-н Теплый Стан,улица Генерала Тюленева,31,8 300 000 ₽,https://www.cian.ru/sale/flat/289009379/
1,"1-комн. кв., 37,8 м², 9/10 этаж",,Улица Горчакова,8 минут пешком,Москва,ЮЗАО,р-н Южное Бутово,Южнобутовская улица,23,9 490 000 ₽,https://www.cian.ru/sale/flat/287332845/
1,"1-комн. кв., 38 м², 3/16 этаж",,Улица Горчакова,7 минут пешком,Москва,ЮЗАО,р-н Южное Бутово,улица Адмирала Лазарева,35,8 900 000 ₽,https://www.cian.ru/sale/flat/288748063/
1,"1-комн. кв., 47,3 м², 15/31 этаж",,Улица Скобелевская,17 минут пешком,Москва,ЮЗАО,р-н Южное Бутово,улица Поляны,5,10 280 000 ₽,https://www.cian.ru/sale/flat/288425971/
1,"1-комн. кв., 40 м², 6/17 этаж",,Бульвар Дмитрия Донского,4 минуты пешком,Москва,ЮЗАО,р-н Северное Бутово,улица Грина,5,10 190 000 ₽,https://www.cian.ru/sale/flat/287029881/
1,"1-комн. кв., 39,1 м², 1/12 этаж",,Тропарёво,12 минут пешком,Москва,ЮЗАО,р-н Теплый Стан,улица Академика Бакулева,6,10 300 000 ₽,https://www.cian.ru/sale/flat/284051063/
1,"1-комн. кв., 44,7 м², 28/33 этаж",Секция 1 • Сдача корпуса 4 кв. 2023,Аминьевская,10 минут пешком,Москва,ЗАО,р-н Очаково-Матвеевское,Матвеевский Парк ЖК,к1.1,14 922 539 ₽,https://www.cian.ru/sale/flat/286097553/
1,"1-комн. кв., 42 м², 5/15 этаж",,Сетунь,12 минут пешком,Москва,ЗАО,р-н Можайский,улица Кубинка,18/2,13 000 000 ₽,https://www.cian.ru/sale/flat/287613710/
1,"1-комн. кв., 42,98 м², 1/9 этаж",Сдача корпуса 1 кв. 2024,Аминьевская,13 минут пешком,Москва,ЗАО,р-н Очаково-Матвеевское,Вангарден ЖК,3.6,14 918 959 ₽,https://www.cian.ru/sale/flat/286829695/
